Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/16/2025,,Regular Season,THE MOB,0|0|0|0|0|74,Loss,,,,,,,,,,,,,,
,,,,,,PattyMil,30,3,10,0,0,2,3,11,61.1,18,8,12,66.7
,,,,,,Reallytrxp,24,0,0,0,0,0,0,9,64.3,14,6,10,60.0
,,,,,,StopBaited,10,0,0,1,0,3,0,3,100.0,3,2,2,100.0
,,,,,,Hit RB LT,7,10,3,0,1,1,2,3,33.3,9,1,5,20.0
,,,,,,Gothum,3,3,2,0,0,1,1,1,50.0,2,1,1,100.0
,,,MoveinSilence,0|0|0|0|0|78,Win,,,,,,,,,,,,,,,
,,,,,,BBreesh,30,0,10,0,0,1,0,11,64.7,17,8,13,61.5
,,,,,,Teeswings,16,7,1,2,2,1,2,7,70.0,10,2,4,50.0
,,,,,,jjayvis,14,0,2,1,0,0,1,6,54.5,11,2,7,28.6
,,,,,,Mercypeaks,10,0,2,3,0,3,0,3,37.5,8,2,6,33.3
,,,,,,Yaegoated,8,12,2,0,1,0,0,4,100.0,4,0,0,0
