Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/16/2025,,Regular Season,Bodega Cats,0|0|0|0|0|74,Win,,,,,,,,,,,,,,
,,,,,,GK1LLER77,18,0,2,0,0,0,0,6,75.0,8,6,7,85.7
,,,,,,TaeCP,18,5,2,1,0,1,0,8,72.7,11,2,2,100.0
,,,,,,goldenboy YP,17,3,9,3,0,2,2,8,50.0,16,1,5,20.0
,,,,,,lvlr Syn,17,6,0,0,0,0,0,6,54.5,11,5,7,71.4
,,,,,,o_ihoop5_o,4,3,8,2,1,3,0,2,50.0,4,0,1,0.0
,,,Must See TV,0|0|0|0|0|59,Loss,,,,,,,,,,,,,,,
,,,,,,A WalkingBucket_,32,0,2,0,0,0,2,11,57.9,19,5,10,50.0
,,,,,,Osakueva,17,0,4,0,0,0,3,8,61.5,13,1,4,25.0
,,,,,,Ali-The-Great,6,1,0,0,1,1,1,2,50.0,4,2,4,50.0
,,,,,,Flac0__0,4,11,4,2,1,4,0,2,100.0,2,0,0,0
,,,,,,xPaleleiB,0,4,2,0,0,0,1,0,0.0,1,0,0,0
