Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/17/2025,,Regular Season,6ix Elite,0|0|0|0|0|93,Win,,,,,,,,,,,,,,
,,,,,,RhinoDiarrhea,37,0,16,0,0,0,5,13,92.9,14,11,12,91.7
,,,,,,StephBeenLit,26,0,3,1,0,1,1,9,69.2,13,8,11,72.7
,,,,,,IIManuck,13,2,1,1,1,1,0,5,83.3,6,3,4,75.0
,,,,,,InEdWeTrust-,9,2,0,1,0,4,0,4,80.0,5,1,2,50.0
,,,,,,Dungardoctor,8,10,3,0,0,2,3,3,75.0,4,0,0,0
,,,Flourish Citizens,0|0|0|0|0|80,Loss,,,,,,,,,,,,,,,
,,,,,,ImClem4Real,39,0,12,1,0,1,1,13,61.9,21,11,17,64.7
,,,,,,TGF4021,22,5,1,0,0,1,2,11,84.6,13,0,0,0
,,,,,,JMDHeisman,9,0,3,3,0,0,0,3,42.9,7,3,6,50.0
,,,,,,xzDOPExz,7,3,1,0,0,0,1,2,50.0,4,1,3,33.3
,,,,,,JJGotTheJuice,3,2,1,2,0,1,0,1,33.3,3,1,2,50.0
