Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/18/2025,,Regular Season,Hoop culture,0|0|0|0|0|67,Win,,,,,,,,,,,,,,
,,,,,,Routted,27,0,1,0,0,2,0,11,61.1,18,5,10,50.0
,,,,,,StopMyMid,12,1,9,2,0,0,3,4,30.8,13,2,9,22.2
,,,,,,EST-TRU,12,0,0,0,1,2,0,4,100.0,4,4,4,100.0
,,,,,,BeltThem,10,1,2,3,0,2,0,4,57.1,7,2,4,50.0
,,,,,,TayGilgeous,6,21,7,1,0,3,4,3,75.0,4,0,1,0.0
,,,Coatesville,0|0|0|0|0|55,Loss,,,,,,,,,,,,,,,
,,,,,,Xmajxx,16,0,3,1,0,1,1,6,50.0,12,3,8,37.5
,,,,,,IIBiggWanll,14,0,2,3,1,4,1,6,50.0,12,2,7,28.6
,,,,,,BudSkrt,12,9,0,0,0,1,1,6,85.7,7,0,0,0
,,,,,,DotForDubs,11,0,8,0,0,1,2,5,55.6,9,1,3,33.3
,,,,,,JlottoDaDon,2,6,5,2,1,0,2,1,50.0,2,0,1,0.0
