Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/18/2025,,Regular Season,Zentastic5,0|0|0|0|0|34,Loss,,,,,,,,,,,,,,
,,,,,,Guess passes,12,0,4,0,0,0,2,5,71.4,7,2,4,50.0
,,,,,,Hey feared,12,10,2,0,0,0,3,5,83.3,6,0,0,0
,,,,,,Ima sell,5,1,0,0,0,0,0,2,50.0,4,1,2,50.0
,,,,,,Chriskickz,3,0,3,0,0,1,1,1,25.0,4,1,2,50.0
,,,,,,iFlaccoTV,2,0,1,1,0,0,3,1,100.0,1,0,0,0
,,,INetwork Esports,0|0|0|0|0|51,Win,,,,,,,,,,,,,,,
,,,,,,iball_splash,16,0,6,2,0,0,1,6,40.0,15,4,10,40.0
,,,,,,GetEmChoppa,14,0,0,2,0,2,0,5,100.0,5,4,4,100.0
,,,,,,HansonCaroline10,13,0,3,1,0,0,0,5,100.0,5,3,3,100.0
,,,,,,CantGuardRobTTV,6,6,1,0,0,1,1,3,100.0,3,0,0,0
,,,,,,ChicagoStreetz-,2,0,4,3,0,1,0,1,100.0,1,0,0,0
