Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/18/2025,,Regular Season,Blacklist,0|0|0|0|0|72,Win,,,,,,,,,,,,,,
,,,,,,NO llSTICKll,33,0,3,1,1,4,1,13,76.5,17,7,10,70.0
,,,,,,Cristiangotzen,26,0,9,0,0,0,2,8,80.0,10,6,7,85.7
,,,,,,zaid stax,8,10,6,2,0,2,2,4,100.0,4,0,0,0
,,,,,,First Yezzy,5,1,1,2,0,0,0,2,40.0,5,1,3,33.3
,,,,,,FakeStepk,0,4,1,1,0,2,1,0,0,0,0,0,0
,,,Wen family,0|0|0|0|0|55,Loss,,,,,,,,,,,,,,,
,,,,,,I Ryan II,17,0,5,2,0,1,0,7,58.3,12,3,6,50.0
,,,,,,oMirabal CF,16,1,5,1,0,4,5,5,33.3,15,4,8,50.0
,,,,,,iiiTzDJ,11,3,1,1,0,0,1,4,66.7,6,3,4,75.0
,,,,,,Yerythebest2,6,3,2,1,1,1,0,2,40.0,5,2,4,50.0
,,,,,,PAGAN7PRl,5,8,4,0,0,0,1,2,66.7,3,0,0,0
