Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/19/2025,,Regular Season,Blacklist,0|0|0|0|0|85,Loss,,,,,,,,,,,,,,
,,,,,,Cristiangotzen,49,0,3,1,0,0,0,18,69.2,26,13,20,65.0
,,,,,,NO llSTICKll,23,1,5,0,0,1,3,9,45.0,20,5,16,31.3
,,,,,,FakeStepk,6,18,14,2,0,0,0,3,33.3,9,0,4,0.0
,,,,,,First Yezzy,4,2,3,0,1,2,0,2,66.7,3,0,1,0.0
,,,,,,KokiJames,3,4,3,1,0,1,1,1,50.0,2,1,2,50.0
,,,Black Men Don't Cheat,0|0|0|0|0|88,Win,,,,,,,,,,,,,,,
,,,,,,Ejenk21,42,0,6,1,0,1,1,14,66.7,21,12,18,66.7
,,,,,,push meds,19,0,6,0,0,0,1,7,43.8,16,5,14,35.7
,,,,,,gflmilly757,10,0,0,2,0,1,1,4,57.1,7,2,5,40.0
,,,,,,ysalB,9,6,2,0,0,0,0,3,42.9,7,3,4,75.0
,,,,,,exploitgawdtv--,8,17,12,0,0,1,1,4,80.0,5,0,0,0
