Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/19/2025,,Regular Season,Loyalty Runs Deep,0|0|0|0|0|69,Loss,,,,,,,,,,,,,,
,,,,,,BlacLabelz0,34,1,7,0,0,0,2,14,63.6,22,6,11,54.5
,,,,,,R1 oSaints,11,0,0,0,1,3,1,4,57.1,7,1,3,33.3
,,,,,,IIIAmVicious,10,0,3,1,0,3,2,4,57.1,7,2,4,50.0
,,,,,,ZiZoe,8,1,1,4,0,2,0,3,75.0,4,2,3,66.7
,,,,,,LuisGotNext,6,12,3,0,1,0,2,3,60.0,5,0,0,0
,,,BulletProof,0|0|0|0|0|81,Win,,,,,,,,,,,,,,,
,,,,,,HellaHeavys,37,0,4,1,0,1,1,15,75.0,20,7,11,63.6
,,,,,,HellaBoots,15,0,13,2,0,1,3,6,75.0,8,3,3,100.0
,,,,,,TotallyCoco,11,3,0,0,0,2,0,3,60.0,5,3,3,100.0
,,,,,,sonovember,11,10,3,1,0,1,1,5,62.5,8,1,2,50.0
,,,,,,Jairo2k,7,2,0,3,0,1,0,2,50.0,4,1,1,100.0
