Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/19/2025,,Regular Season,Never Daunted,0|0|0|0|0|58,Loss,,,,,,,,,,,,,,
,,,,,,fazos x,20,0,3,0,0,2,3,9,81.8,11,2,4,50.0
,,,,,,ImFlo2k TTV,14,1,9,0,0,0,4,5,50.0,10,2,4,50.0
,,,,,,TakeMyBlitz,14,7,2,0,2,1,4,5,45.5,11,4,9,44.4
,,,,,,scottiepimpenn3,7,5,3,1,0,2,1,3,50.0,6,1,4,25.0
,,,,,,Its EP on TTV,3,0,0,1,0,2,0,1,25.0,4,1,3,33.3
,,,BulletProof,0|0|0|0|0|103,Win,,,,,,,,,,,,,,,
,,,,,,HellaBoots,32,0,10,3,0,1,1,11,57.9,19,8,14,57.1
,,,,,,HellaHeavys,31,0,5,0,0,0,0,11,64.7,17,9,13,69.2
,,,,,,sonovember,19,16,4,1,0,1,0,9,75.0,12,1,1,100.0
,,,,,,TotallyCoco,16,8,6,6,0,1,0,7,87.5,8,2,3,66.7
,,,,,,Jairo2k,5,1,0,1,0,2,1,2,66.7,3,1,2,50.0
