Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/19/2025,,Regular Season,New Strap City,0|0|0|0|0|77,Loss,,,,,,,,,,,,,,
,,,,,,TheGlue4,37,0,12,0,0,1,1,14,77.8,18,9,12,75.0
,,,,,,Im_different4,14,7,3,1,1,1,4,7,100.0,7,0,0,0
,,,,,,Yikki-Za,10,2,1,0,0,2,0,4,80.0,5,2,3,66.7
,,,,,,Melo3pt,9,0,3,1,0,3,0,3,60.0,5,3,5,60.0
,,,,,,iFlexx_48,7,1,1,0,0,3,0,3,50.0,6,1,3,33.3
,,,Free Smoke,0|0|0|0|0|85,Win,,,,,,,,,,,,,,,
,,,,,,ill-Dante-lli,33,0,14,0,0,0,1,12,66.7,18,9,12,75.0
,,,,,,ooJxden,17,4,0,2,0,0,0,6,85.7,7,5,5,100.0
,,,,,,DonFloatinn,16,0,1,1,0,0,1,6,66.7,9,4,6,66.7
,,,,,,IssaCreed-_,16,4,4,1,0,1,1,8,100.0,8,0,0,0
,,,,,,WaveLuciann,3,3,2,0,0,2,0,1,50.0,2,1,1,100.0
