Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/19/2025,,Regular Season,Untouchabulls,0|0|0|0|0|73,Win,,,,,,,,,,,,,,
,,,,,,ICHEVVAI,23,2,2,4,1,0,1,9,90.0,10,5,6,83.3
,,,,,,LockGPT,20,3,1,0,0,4,1,7,70.0,10,6,7,85.7
,,,,,,ISwaggyz,18,0,11,0,0,1,2,8,50.0,16,2,7,28.6
,,,,,,Controverssy,10,10,4,2,1,3,2,5,71.4,7,0,0,0
,,,,,,o Zensation,2,8,2,0,0,0,1,1,50.0,2,0,1,0.0
,,,RuskaRomaPrep,0|0|0|0|0|50,Loss,,,,,,,,,,,,,,,
,,,,,,zSTNx,15,0,5,2,0,1,1,6,46.2,13,3,9,33.3
,,,,,,Mir-In-Motion,12,1,2,2,0,0,4,4,30.8,13,2,11,18.2
,,,,,,|GodSent|-,11,0,0,1,0,1,0,5,83.3,6,1,1,100.0
,,,,,,Earlier-it,8,0,3,1,0,0,0,3,42.9,7,2,5,40.0
,,,,,,GodSentMel,4,17,3,0,1,0,1,1,11.1,9,0,3,0.0
