Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/20/2025,,Regular Season,RuskaRomaPrep,0|0|0|0|0|51,Loss,,,,,,,,,,,,,,
,,,,,,zSTNx,15,0,8,1,0,1,5,4,50.0,8,4,6,66.7
,,,,,,Earlier-it,12,0,3,2,0,1,1,4,36.4,11,4,10,40.0
,,,,,,HandlePolicy,11,0,2,0,0,0,1,4,57.1,7,3,5,60.0
,,,,,,Mir-In-Motion,11,5,1,1,0,2,1,4,28.6,14,3,8,37.5
,,,,,,GodSentMel,2,8,1,1,0,0,3,1,33.3,3,0,2,0.0
,,,Iconic,0|0|0|0|0|91,Win,,,,,,,,,,,,,,,
,,,,,,Gazulli,28,0,1,2,0,1,0,10,62.5,16,8,12,66.7
,,,,,,IIRangeiana,22,0,3,2,0,2,0,9,81.8,11,4,5,80.0
,,,,,,ReignJokic,17,20,7,3,0,1,2,8,80.0,10,1,2,50.0
,,,,,,CamSPM,14,1,10,0,0,0,1,5,71.4,7,2,3,66.7
,,,,,,Kye 716,10,4,2,3,0,4,2,4,80.0,5,2,2,100.0
