Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/20/2025,,Regular Season,DUB DYNASTY,0|0|0|0|0|72,Loss,,,,,,,,,,,,,,
,,,,,,Tiktokpablo,25,0,8,0,0,0,4,9,50.0,18,5,13,38.5
,,,,,,Walksum-,15,0,7,1,0,2,1,7,77.8,9,1,1,100.0
,,,,,,Dynastyxcjay,12,8,4,1,0,0,3,5,62.5,8,2,2,100.0
,,,,,,DynastyxTay,11,0,0,0,0,1,0,4,80.0,5,3,3,100.0
,,,,,,IDKVINO,9,3,1,4,0,2,0,3,60.0,5,3,5,60.0
,,,Money On The Floor,0|0|0|0|0|94,Win,,,,,,,,,,,,,,,
,,,,,,pGrinchy TTv,31,0,0,1,0,0,1,11,68.8,16,8,10,80.0
,,,,,,Im Not Dimes,27,4,15,0,0,3,2,10,66.7,15,5,9,55.6
,,,,,,MiBoundzz,16,12,5,1,0,2,3,7,77.8,9,2,2,100.0
,,,,,,Kmoney WT,14,4,2,1,0,2,0,5,55.6,9,4,6,66.7
,,,,,,MannyTAFT,6,2,0,3,1,3,0,3,75.0,4,0,1,0.0
