Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/20/2025,,Regular Season,Lightsout,0|0|0|0|0|109,Win,,,,,,,,,,,,,,
,,,,,,iiziii,65,0,0,1,0,1,0,22,78.6,28,19,24,79.2
,,,,,,Real JGF,34,0,1,3,0,0,0,13,100.0,13,6,6,100.0
,,,,,,XFatboyTrae,4,13,14,0,1,1,1,2,100.0,2,0,0,0
,,,,,,Melder_,3,3,2,1,2,3,0,1,33.3,3,1,2,50.0
,,,,,,TmChris2k,3,0,11,2,0,0,1,1,33.3,3,1,2,50.0
,,,The 6ixx Prep,0|0|0|0|0|61,Loss,,,,,,,,,,,,,,,
,,,,,,Svmmrs1of1,26,8,7,0,0,4,5,12,80.0,15,0,0,0
,,,,,,wthtrial,12,0,3,0,0,0,2,4,40.0,10,4,9,44.4
,,,,,,Stealoh,11,0,6,0,0,0,1,4,40.0,10,2,7,28.6
,,,,,,fayewebster,9,0,0,1,0,1,0,3,60.0,5,3,5,60.0
,,,,,,Spookynugget24,3,5,1,0,0,0,1,1,16.7,6,1,4,25.0
