Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/20/2025,,Regular Season,Under The Influence,0|0|0|0|0|90,Win,,,,,,,,,,,,,,
,,,,,,Gods Jumpuh,33,0,5,0,0,0,0,11,73.3,15,7,10,70.0
,,,,,,Love A Eater,21,0,16,1,0,0,3,7,58.3,12,6,10,60.0
,,,,,,IIBeebsterII,20,12,5,1,0,1,3,10,83.3,12,0,1,0.0
,,,,,,XxBurkReturns,16,0,1,2,0,2,1,7,100.0,7,1,1,100.0
,,,,,,Korvoski,0,2,2,1,0,4,1,0,0,0,0,0,0
,,,Major smoke,0|0|0|0|0|85,Loss,,,,,,,,,,,,,,,
,,,,,,KingInDaNorth28,32,5,5,0,0,1,0,14,93.3,15,2,2,100.0
,,,,,,Swaycashh,20,0,14,3,0,0,5,8,66.7,12,4,8,50.0
,,,,,,Wavyrose,13,0,6,0,0,4,0,5,50.0,10,3,7,42.9
,,,,,,Bstackz,11,2,2,1,1,0,0,5,83.3,6,1,2,50.0
,,,,,,Afromaker,9,1,3,3,0,2,0,3,50.0,6,3,6,50.0
