Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,TheCabin,0|0|0|0|0|43,Win,,,,,,,,,,,,,,
,,,,,,tulycapalot,21,1,0,0,0,2,0,8,72.7,11,5,7,71.4
,,,,,,lllSELLlll,8,12,5,0,0,0,0,4,100.0,4,0,0,0
,,,,,,lCozyll,5,0,5,1,0,1,1,2,28.6,7,1,5,20.0
,,,,,,ExactlyDre,5,1,1,1,0,0,2,2,50.0,4,1,3,33.3
,,,,,,AlwaysBeenMe,4,0,1,2,1,1,0,2,66.7,3,0,1,0.0
,,,A5,0|0|0|0|0|32,Loss,,,,,,,,,,,,,,,
,,,,,,SleepyCucumber,11,0,2,0,0,0,1,3,60.0,5,2,4,50.0
,,,,,,HowToLock,7,1,3,1,1,2,1,3,50.0,6,1,4,25.0
,,,,,,Lanol,6,2,1,0,0,1,1,3,75.0,4,0,1,0.0
,,,,,,IMannyGunz,5,0,2,0,0,0,0,2,66.7,3,1,2,50.0
,,,,,,qJudgements,3,2,2,2,0,0,1,1,25.0,4,1,3,33.3
