Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,Untouchabulls,0|0|0|0|0|96,Win,,,,,,,,,,,,,,
,,,,,,LockGPT,31,0,3,1,0,3,1,11,78.6,14,9,12,75.0
,,,,,,ISwaggyz,31,0,12,1,0,0,1,11,64.7,17,8,13,61.5
,,,,,,Controverssy,14,16,7,2,0,2,0,6,85.7,7,0,0,0
,,,,,,ICHEVVAI,12,3,1,4,1,1,1,5,62.5,8,2,5,40.0
,,,,,,ICoscu,8,3,2,0,1,0,0,3,50.0,6,2,5,40.0
,,,Dawg Mentality,0|0|0|0|0|59,Loss,,,,,,,,,,,,,,,
,,,,,,xthebeltx,20,1,7,1,0,0,3,6,40.0,15,6,14,42.9
,,,,,,IIG3NEII,15,0,4,1,0,2,3,6,66.7,9,3,5,60.0
,,,,,,ODthatdude,10,5,2,0,0,1,2,5,83.3,6,0,0,0
,,,,,,Best Break,8,1,0,0,0,0,1,3,42.9,7,2,3,66.7
,,,,,,Lane Stealin,6,5,0,0,1,2,1,2,50.0,4,2,3,66.7
