Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,Loyalty Runs Deep,0|0|0|0|0|49,Win,,,,,,,,,,,,,,
,,,,,,BlacLabelz0,26,0,2,0,0,0,0,9,75.0,12,8,10,80.0
,,,,,,IIIAmVicious,17,0,0,2,0,0,1,6,85.7,7,5,6,83.3
,,,,,,R1 oSaints,3,1,3,0,0,2,0,1,33.3,3,1,3,33.3
,,,,,,Sessions4467,3,2,3,1,0,0,0,1,100.0,1,1,1,100.0
,,,,,,LuisGotNext,0,7,2,0,0,0,0,0,0,0,0,0,0
,,,maison de yume,0|0|0|0|0|26,Loss,,,,,,,,,,,,,,,
,,,,,,teddyxmcdonald,14,0,1,0,0,0,0,4,80.0,5,4,5,80.0
,,,,,,DeepestStrokes,6,1,0,0,0,0,1,2,50.0,4,2,3,66.7
,,,,,,Tykeyze,4,0,0,0,0,0,1,2,66.7,3,0,1,0.0
,,,,,,Itspolo,2,7,4,0,0,0,1,1,50.0,2,0,1,0.0
,,,,,,xpluckable-_,0,1,2,1,0,0,1,0,0.0,8,0,7,0.0
