Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,TheCabin,0|0|0|0|0|79,Win,,,,,,,,,,,,,,
,,,,,,tulycapalot,38,1,7,0,0,2,0,14,58.3,24,7,13,53.8
,,,,,,lllSELLlll,19,14,9,2,0,1,2,9,100.0,9,1,1,100.0
,,,,,,lCozyll,12,0,4,1,0,2,0,5,71.4,7,2,4,50.0
,,,,,,ExactlyDre,10,2,3,1,1,1,0,4,50.0,8,2,4,50.0
,,,,,,xJettski,0,1,0,1,0,5,0,0,0.0,1,0,0,0
,,,Monstars,0|0|0|0|0|67,Loss,,,,,,,,,,,,,,,
,,,,,,Greenlightx,43,1,6,1,0,0,3,15,62.5,24,8,14,57.1
,,,,,,Choc Yt n TTv,12,0,1,0,0,3,0,5,62.5,8,2,5,40.0
,,,,,,Bot acct,6,10,2,1,1,1,1,3,75.0,4,0,0,0
,,,,,,Wolfnosss,3,0,0,0,0,0,2,1,50.0,2,1,2,50.0
,,,,,,Getmyballs,3,3,2,0,1,0,0,1,20.0,5,1,5,20.0
