Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,TheCabin,0|0|0|0|0|95,Win,,,,,,,,,,,,,,
,,,,,,tulycapalot,41,0,1,4,0,1,1,15,68.2,22,10,16,62.5
,,,,,,ExactlyDre,18,1,5,4,1,2,2,6,100.0,6,6,6,100.0
,,,,,,lCozyll,17,0,9,1,0,1,1,4,50.0,8,4,7,57.1
,,,,,,AlwaysBeenMe,10,0,1,1,0,2,0,4,66.7,6,2,3,66.7
,,,,,,lllSELLlll,9,10,10,1,0,1,1,4,66.7,6,1,3,33.3
,,,Non Stop,0|0|0|0|0|82,Loss,,,,,,,,,,,,,,,
,,,,,,TrustDrippy,45,0,5,0,0,1,4,16,64.0,25,9,16,56.3
,,,,,,IIDrezz,23,0,3,1,0,0,2,9,90.0,10,5,5,100.0
,,,,,,Tenacious Rebound,9,15,7,0,0,0,3,4,80.0,5,1,1,100.0
,,,,,,Reallyhim,5,0,2,0,0,1,1,2,50.0,4,1,3,33.3
,,,,,,Lane script,0,0,2,2,0,1,1,0,0,0,0,0,0
