Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,Out for blood,0|0|0|0|0|76,Win,,,,,,,,,,,,,,
,,,,,,Duffyszn2k,31,0,1,2,0,1,1,11,78.6,14,9,11,81.8
,,,,,,Cr vonte,16,6,6,0,0,0,0,6,100.0,6,4,4,100.0
,,,,,,xMyless,16,2,1,2,1,2,1,5,83.3,6,4,5,80.0
,,,,,,Zee Da A1 PG,7,0,5,0,0,0,0,2,50.0,4,1,3,33.3
,,,,,,Rich Rell,6,5,7,1,0,1,0,2,66.7,3,2,2,100.0
,,,Triborough,0|0|0|0|0|40,Loss,,,,,,,,,,,,,,,
,,,,,,Bnasty_Tv,12,0,2,0,0,0,1,3,37.5,8,2,4,50.0
,,,,,,ITROYBOYI,10,5,4,0,0,2,0,5,100.0,5,0,0,0
,,,,,,Saucejigga,8,0,1,0,0,1,1,4,80.0,5,0,0,0
,,,,,,BaseballJ-TikTok,5,0,4,0,0,2,2,2,50.0,4,1,3,33.3
,,,,,,G_RAWWW3,5,2,1,2,0,2,2,2,22.2,9,1,8,12.5
