Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,Defy Gravity,0|0|0|0|0|85,Win,,,,,,,,,,,,,,
,,,,,,llSafll,33,1,12,0,0,1,1,12,70.6,17,9,13,69.2
,,,,,,mo means,25,0,5,3,0,0,3,8,72.7,11,6,9,66.7
,,,,,,NextLaneOpen-,10,0,0,0,0,5,1,4,66.7,6,2,4,50.0
,,,,,,DenyDots,9,3,2,1,0,0,0,3,60.0,5,3,5,60.0
,,,,,,Ayeeyoocorb,8,6,3,0,1,3,0,4,100.0,4,0,0,0
,,,SWVA PARADISE,0|0|0|0|0|81,Loss,,,,,,,,,,,,,,,
,,,,,,Fen Sins,35,0,6,1,0,1,3,14,66.7,21,5,8,62.5
,,,,,,I CheddR I,14,0,7,0,0,0,1,5,55.6,9,3,5,60.0
,,,,,,King Plamer,14,0,3,1,0,1,0,5,83.3,6,1,2,50.0
,,,,,,Reedrix,10,14,1,1,0,2,1,5,83.3,6,0,0,0
,,,,,,Gamble Scopes,8,0,2,2,0,0,0,3,75.0,4,2,3,66.7
