Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,Secret Empire,0|0|0|0|0|68,Loss,,,,,,,,,,,,,,
,,,,,,IlllBllll,26,2,1,1,1,0,1,9,64.3,14,8,12,66.7
,,,,,,DarkHxrse,23,1,8,1,0,0,3,9,52.9,17,5,13,38.5
,,,,,,TULOWRY,11,8,5,0,0,2,3,4,50.0,8,1,4,25.0
,,,,,,ImHibachi,6,0,0,2,0,3,0,2,40.0,5,2,4,50.0
,,,,,,Despins-,2,3,0,1,0,1,1,1,25.0,4,0,2,0.0
,,,A5,0|0|0|0|0|88,Win,,,,,,,,,,,,,,,
,,,,,,qJudgements,23,1,6,1,0,0,0,9,75.0,12,5,8,62.5
,,,,,,IMannyGunz,23,0,1,3,0,3,1,10,66.7,15,3,8,37.5
,,,,,,SleepyCucumber,17,2,6,1,0,0,2,7,100.0,7,3,3,100.0
,,,,,,Lanol,14,15,8,1,2,3,3,6,75.0,8,0,0,0
,,,,,,HowToLock,11,5,0,1,0,3,0,4,57.1,7,3,5,60.0
