Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,TheCabin,0|0|0|0|0|50,Win,,,,,,,,,,,,,,
,,,,,,tulycapalot,25,0,1,2,0,1,0,9,81.8,11,7,9,77.8
,,,,,,ExactlyDre,11,2,1,1,0,2,0,4,80.0,5,3,4,75.0
,,,,,,lCozyll,8,0,7,0,0,0,0,3,50.0,6,2,5,40.0
,,,,,,AlwaysBeenMe,4,0,0,0,0,1,0,2,66.7,3,0,1,0.0
,,,,,,lllSELLlll,2,5,3,0,0,0,2,1,50.0,2,0,0,0
,,,A5,0|0|0|0|0|40,Loss,,,,,,,,,,,,,,,
,,,,,,SleepyCucumber,23,0,2,0,0,0,1,8,88.9,9,5,5,100.0
,,,,,,qJudgements,9,0,1,0,0,0,2,4,57.1,7,1,1,100.0
,,,,,,Lanol,4,4,2,0,0,0,0,2,66.7,3,0,1,0.0
,,,,,,IMannyGunz,2,0,0,0,0,0,0,1,100.0,1,0,0,0
,,,,,,HowToLock,2,2,2,1,0,0,1,1,50.0,2,0,0,0
