Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,The Father Hood,0|0|0|0|0|56,Loss,,,,,,,,,,,,,,
,,,,,,Jawndog781,21,7,0,0,0,0,2,8,66.7,12,5,8,62.5
,,,,,,Johnnyfresh21_,14,2,2,0,0,4,2,5,41.7,12,4,8,50.0
,,,,,,Builtdifferent,10,12,4,0,1,0,6,5,100.0,5,0,0,0
,,,,,,itsDooly-,8,0,3,1,0,2,1,3,100.0,3,2,2,100.0
,,,,,,Huntttoonice,3,1,9,3,0,0,3,1,7.7,13,1,10,10.0
,,,Loyalty Runs Deep,0|0|0|0|0|88,Win,,,,,,,,,,,,,,,
,,,,,,BlacLabelz0,60,0,8,3,0,3,2,19,73.1,26,19,25,76.0
,,,,,,IIIAmVicious,11,0,2,1,0,2,1,4,66.7,6,3,5,60.0
,,,,,,Sessions4467,8,8,1,1,0,1,0,3,37.5,8,2,7,28.6
,,,,,,Damnn_CB,6,13,2,3,0,1,1,3,50.0,6,0,0,0
,,,,,,R1 oSaints,3,4,2,5,1,0,1,1,10.0,10,1,4,25.0
