Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,TheCabin,0|0|0|0|0|88,Win,,,,,,,,,,,,,,
,,,,,,tulycapalot,30,1,3,1,0,1,1,11,68.8,16,8,12,66.7
,,,,,,xJettski,20,1,1,3,0,3,0,7,58.3,12,6,9,66.7
,,,,,,lCozyll,19,2,5,1,0,0,1,7,63.6,11,4,7,57.1
,,,,,,ExactlyDre,11,8,3,1,1,2,2,4,80.0,5,3,4,75.0
,,,,,,lllSELLlll,8,14,6,2,0,0,1,4,44.4,9,0,1,0.0
,,,Zentastic5,0|0|0|0|0|63,Loss,,,,,,,,,,,,,,,
,,,,,,Guess passes,24,1,8,0,0,2,4,8,50.0,16,6,11,54.5
,,,,,,Chriskickz,13,0,1,0,0,1,1,5,62.5,8,3,6,50.0
,,,,,,Hey feared,10,13,3,1,0,0,1,5,55.6,9,0,2,0.0
,,,,,,KvngSteez,8,0,0,2,0,2,1,3,37.5,8,2,5,40.0
,,,,,,Perk Benoit,8,2,0,1,0,0,1,3,60.0,5,2,4,50.0
