Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/22/2025,,Regular Season,ORIGINAL BROTHERS,0|0|0|0|0|81,Win,,,,,,,,,,,,,,
,,,,,,Zxnner,34,0,10,0,0,1,2,12,100.0,12,8,8,100.0
,,,,,,Dcash ny,22,6,3,3,1,1,1,9,81.8,11,4,5,80.0
,,,,,,iSnaPP3d TTV,12,7,4,0,2,3,2,5,71.4,7,0,0,0
,,,,,,PlacidBoyRico,10,0,1,2,0,0,1,4,40.0,10,2,7,28.6
,,,,,,Spacely11,3,1,2,2,0,3,1,1,33.3,3,1,3,33.3
,,,InVigor Alliance,0|0|0|0|0|64,Loss,,,,,,,,,,,,,,,
,,,,,,JokerADB,20,8,3,0,0,0,1,10,90.9,11,0,0,0
,,,,,,ImThePringleman,15,0,6,1,0,2,1,6,54.5,11,3,8,37.5
,,,,,,lakiwi,14,0,4,0,0,0,5,5,38.5,13,4,10,40.0
,,,,,,KPMR,13,0,0,3,0,4,2,5,62.5,8,3,5,60.0
,,,,,,bronx_duffle,2,3,6,2,0,2,0,1,50.0,2,0,0,0
