Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/22/2025,,Regular Season,ZeroTolerance,0|0|0|0|0|65,Win,,,,,,,,,,,,,,
,,,,,,cameraflip,21,0,0,0,0,4,0,9,100.0,9,3,3,100.0
,,,,,,xojask,15,10,3,0,0,1,2,7,87.5,8,1,1,100.0
,,,,,,lgothagun,13,1,9,2,0,0,0,5,62.5,8,3,6,50.0
,,,,,,outxshyne,10,0,3,0,0,0,1,4,57.1,7,2,4,50.0
,,,,,,SioDied,6,1,6,6,0,0,1,2,25.0,8,2,4,50.0
,,,The Blueprint,0|0|0|0|0|56,Loss,,,,,,,,,,,,,,,
,,,,,,lDisparo,21,0,4,0,0,0,4,7,70.0,10,7,10,70.0
,,,,,,Rattysreturn,19,0,5,2,0,1,2,7,53.8,13,5,11,45.5
,,,,,,Swann_2KL,12,9,1,1,1,2,2,6,85.7,7,0,1,0.0
,,,,,,FirstBallot,2,0,2,0,0,2,0,1,50.0,2,0,0,0
,,,,,,Beezy TC,2,3,0,0,0,4,0,1,50.0,2,0,1,0.0
