Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/23/2025,,Regular Season,LeanTeam,0|0|0|0|0|104,Win,,,,,,,,,,,,,,
,,,,,,LTMaal,36,0,23,0,0,2,1,15,88.2,17,5,6,83.3
,,,,,,LTDupes,25,8,2,0,1,0,0,10,83.3,12,5,7,71.4
,,,,,,D redd2x,16,12,3,0,1,1,1,7,100.0,7,2,2,100.0
,,,,,,Im Their Plug,15,6,3,3,1,1,0,7,77.8,9,1,1,100.0
,,,,,,Kyng Gaza,12,0,0,1,0,1,0,4,50.0,8,4,8,50.0
,,,Below Zero Gaming,0|0|0|0|0|54,Loss,,,,,,,,,,,,,,,
,,,,,,stillgood,21,0,7,0,0,0,2,8,44.4,18,5,14,35.7
,,,,,,AnaniJade,12,11,4,0,0,0,2,6,60.0,10,0,0,0
,,,,,,DrakeTheBEAST101,11,1,3,0,0,0,0,5,33.3,15,1,7,14.3
,,,,,,RebelsKickIt,7,0,0,2,0,2,0,3,37.5,8,1,4,25.0
,,,,,,llPushinTeell,3,2,0,0,0,0,1,1,50.0,2,1,2,50.0
