Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/23/2025,,Regular Season,Coatesville,0|0|0|0|0|66,Win,,,,,,,,,,,,,,
,,,,,,EnvyZayyy,27,1,6,0,0,0,3,10,62.5,16,7,13,53.8
,,,,,,JlottoDaDon,16,0,0,2,1,4,0,7,87.5,8,2,2,100.0
,,,,,,Xmajxx,10,2,6,4,0,2,4,4,50.0,8,2,6,33.3
,,,,,,IIBiggWanll,8,7,0,0,1,1,2,4,66.7,6,0,0,0
,,,,,,VerifiedMere,5,4,3,4,0,0,0,2,100.0,2,1,1,100.0
,,,No Warning,0|0|0|0|0|64,Loss,,,,,,,,,,,,,,,
,,,,,,Ayrabb-,19,0,6,2,0,2,1,7,38.9,18,5,13,38.5
,,,,,,JusFadez-,19,0,3,2,0,0,3,7,70.0,10,5,7,71.4
,,,,,,yDeadeyeYT,18,6,1,2,0,1,5,7,70.0,10,4,5,80.0
,,,,,,Tempiffy,5,11,6,0,0,0,1,2,66.7,3,1,1,100.0
,,,,,,JusstinShines,3,0,2,3,0,1,0,1,25.0,4,1,2,50.0
