Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/23/2025,,Regular Season,Nightmare City,0|0|0|0|0|60,Win,,,,,,,,,,,,,,
,,,,,,island Devil,29,0,4,0,0,0,3,11,52.4,21,7,15,46.7
,,,,,,xLattin,11,0,7,2,0,0,6,3,42.9,7,3,6,50.0
,,,,,,XxCLUSIVE,10,11,4,2,0,0,0,4,80.0,5,0,0,0
,,,,,,Xxmoneycashxx,7,1,1,3,0,1,1,3,75.0,4,1,2,50.0
,,,,,,Catchingblessing,3,6,2,4,0,3,0,1,25.0,4,1,4,25.0
,,,Spaced Out SOE,0|0|0|0|0|54,Loss,,,,,,,,,,,,,,,
,,,,,,TheParanoidduck,18,8,2,0,0,0,1,8,72.7,11,2,3,66.7
,,,,,,MikeHonchoooo,11,0,8,2,0,3,7,5,55.6,9,1,4,25.0
,,,,,,Holy Verses,10,3,1,1,1,0,0,4,66.7,6,2,3,66.7
,,,,,,Break Toes,10,0,2,3,0,2,1,5,50.0,10,0,3,0.0
,,,,,,Ablueeee,5,6,6,0,0,1,2,2,33.3,6,1,4,25.0
