Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/23/2025,,Regular Season,Supreme styles,0|0|0|0|0|66,Loss,,,,,,,,,,,,,,
,,,,,,Nolimitkev,37,1,4,0,2,1,1,14,82.4,17,9,11,81.8
,,,,,,Iiithexmaniii,9,0,4,0,0,0,6,4,44.4,9,1,2,50.0
,,,,,,Manzebk,9,2,1,1,0,3,2,4,36.4,11,1,3,33.3
,,,,,,LethalTrxster,6,7,1,1,0,0,3,2,33.3,6,1,4,25.0
,,,,,,Stammm7,5,5,2,1,1,5,1,2,66.7,3,1,1,100.0
,,,Defy Gravity,0|0|0|0|0|97,Win,,,,,,,,,,,,,,,
,,,,,,llSafll,32,0,7,0,0,2,1,11,84.6,13,8,9,88.9
,,,,,,Vleur,26,1,7,3,0,2,1,10,76.9,13,6,7,85.7
,,,,,,mytimbsrfake,15,8,2,1,1,0,2,6,66.7,9,1,2,50.0
,,,,,,mo means,14,4,10,4,1,1,0,6,66.7,9,2,5,40.0
,,,,,,crnr3,10,0,2,3,0,0,0,4,66.7,6,2,4,50.0
