Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,6ix Lab,0|0|0|0|0|61,Loss,,,,,,,,,,,,,,
,,,,,,TrollEm Hates Buc,30,1,9,0,0,1,4,10,58.8,17,8,11,72.7
,,,,,,yvesgbump,14,13,2,0,0,0,1,7,53.8,13,0,3,0.0
,,,,,,dontsllp,12,0,4,2,0,1,1,5,55.6,9,2,6,33.3
,,,,,,jayadebayo,3,4,2,1,0,1,2,1,25.0,4,1,4,25.0
,,,,,,sikko,2,0,0,2,0,0,1,1,33.3,3,0,1,0.0
,,,TheCabin,0|0|0|0|0|78,Win,,,,,,,,,,,,,,,
,,,,,,tulycapalot,24,1,6,0,1,0,1,9,47.4,19,6,13,46.2
,,,,,,xJettski,20,0,1,1,0,1,1,7,70.0,10,6,8,75.0
,,,,,,ExactlyDre,14,2,1,6,0,5,1,6,60.0,10,2,5,40.0
,,,,,,lllSELLlll,12,18,7,0,0,0,2,6,100.0,6,0,0,0
,,,,,,AlwaysBeenMe,8,0,1,2,0,4,1,3,50.0,6,2,5,40.0
