Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,Black Men Don't Cheat,0|0|0|0|0|69,Loss,,,,,,,,,,,,,,
,,,,,,push meds,26,0,5,0,0,2,1,9,69.2,13,8,11,72.7
,,,,,,Ejenk21,15,0,4,4,0,1,2,5,38.5,13,5,12,41.7
,,,,,,exploitgawdtv--,12,12,5,2,1,1,1,5,45.5,11,0,2,0.0
,,,,,,gflmilly757,10,1,1,0,0,0,0,4,33.3,12,2,7,28.6
,,,,,,ysalB,6,4,4,2,0,1,2,2,33.3,6,2,6,33.3
,,,Flourish Citizens,0|0|0|0|0|80,Win,,,,,,,,,,,,,,,
,,,,,,TGF4021,28,14,4,0,1,0,3,14,93.3,15,0,0,0
,,,,,,JMDHeisman,23,0,4,2,0,2,3,10,100.0,10,3,3,100.0
,,,,,,ImClem4Real,23,0,8,0,0,0,1,8,57.1,14,6,12,50.0
,,,,,,xzDOPExz,6,1,3,1,0,1,2,3,50.0,6,0,2,0.0
,,,,,,M1keyTheGem40,0,11,5,2,0,3,2,0,0.0,4,0,2,0.0
