Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,High Octane,0|0|0|0|0|51,Loss,,,,,,,,,,,,,,
,,,,,,Evos-Phynx,21,0,3,3,0,2,2,7,43.8,16,5,13,38.5
,,,,,,PurpDaMenace,14,10,2,0,0,1,3,6,75.0,8,0,1,0.0
,,,,,,SpilledMyWock-,8,0,6,0,1,0,4,2,50.0,4,2,3,66.7
,,,,,,WooHardxn,6,0,1,1,1,3,2,3,50.0,6,0,1,0.0
,,,,,,IIDevoll,2,4,4,1,0,0,0,1,33.3,3,0,2,0.0
,,,Franchise,0|0|0|0|0|66,Win,,,,,,,,,,,,,,,
,,,,,,iiKardiyo,19,0,10,2,0,0,3,8,53.3,15,3,9,33.3
,,,,,,Mallorybellaire,17,0,4,2,0,3,0,7,46.7,15,3,9,33.3
,,,,,,Immapopper,16,14,3,1,0,1,2,8,80.0,10,0,1,0.0
,,,,,,Alsmoovee,11,6,2,1,1,2,1,4,50.0,8,3,5,60.0
,,,,,,froende,3,4,2,4,0,3,0,1,50.0,2,1,1,100.0
