Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,Hidden Greatness,0|0|0|0|0|49,Loss,,,,,,,,,,,,,,
,,,,,,Futurewyd,30,0,2,3,0,0,3,11,64.7,17,8,13,61.5
,,,,,,EvolutionDrizzy,9,0,1,1,0,0,3,3,27.3,11,2,7,28.6
,,,,,,Tfjuice,6,2,0,3,0,0,2,2,66.7,3,2,3,66.7
,,,,,,Yessirdylan,3,5,2,1,0,1,1,1,16.7,6,1,5,20.0
,,,,,,Bufsi,1,4,6,1,0,0,2,0,0.0,3,0,2,0.0
,,,Bodega Cats,0|0|0|0|0|79,Win,,,,,,,,,,,,,,,
,,,,,,GK1LLER77,25,0,3,0,0,0,1,9,69.2,13,7,11,63.6
,,,,,,goldenboy YP,22,0,7,5,0,1,3,9,81.8,11,4,6,66.7
,,,,,,lvlr Syn,17,6,1,2,1,1,0,7,70.0,10,2,4,50.0
,,,,,,o_ihoop5_o,13,4,10,2,0,4,0,5,83.3,6,3,3,100.0
,,,,,,TaeCP,2,13,5,1,0,0,5,1,33.3,3,0,2,0.0
