Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,RuskaRomaPrep,0|0|0|0|0|84,Win,,,,,,,,,,,,,,
,,,,,,Earlier-it,28,0,2,1,0,2,1,9,69.2,13,8,12,66.7
,,,,,,Mir-In-Motion,20,1,2,1,1,1,0,9,64.3,14,2,5,40.0
,,,,,,|GodSent|-,16,1,2,2,1,2,1,6,75.0,8,4,6,66.7
,,,,,,zSTNx,11,1,12,1,0,0,2,4,80.0,5,3,3,100.0
,,,,,,GodSentMel,9,15,7,1,0,2,1,4,80.0,5,1,2,50.0
,,,Know Ego,0|0|0|0|0|68,Loss,,,,,,,,,,,,,,,
,,,,,,AustinReegs,22,1,1,2,0,1,0,7,38.9,18,6,17,35.3
,,,,,,Shalla-Bal,20,5,1,0,0,2,3,7,77.8,9,6,7,85.7
,,,,,,FeenBitesBak,10,4,1,1,0,1,0,4,50.0,8,2,2,100.0
,,,,,,llSummon,10,4,2,0,0,0,1,5,83.3,6,0,0,0
,,,,,,Belichecked,6,0,12,2,0,1,3,2,40.0,5,2,5,40.0
