Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Liquid Pro Am,0|0|0|0|0|72,Win,,,,,,,,,,,,,,
,,,,,,doodlebam,22,0,6,0,0,0,0,8,80.0,10,6,8,75.0
,,,,,,winningNgaining,18,10,8,2,1,1,2,9,100.0,9,0,0,0
,,,,,,Antoinelove,14,0,9,0,0,3,0,5,55.6,9,3,7,42.9
,,,,,,Zayynossll,12,1,0,0,1,5,0,5,83.3,6,2,3,66.7
,,,,,,jaysnagss,6,5,0,0,1,0,0,2,40.0,5,2,3,66.7
,,,Before The Fame,0|0|0|0|0|59,Loss,,,,,,,,,,,,,,,
,,,,,,stunsational,19,0,1,0,0,3,1,7,87.5,8,4,5,80.0
,,,,,,Jack3sOnly,17,1,7,0,0,3,0,6,66.7,9,3,6,50.0
,,,,,,ohdonn,13,3,4,2,0,2,0,5,50.0,10,3,7,42.9
,,,,,,xkingsworld,10,4,4,0,0,0,1,4,44.4,9,2,3,66.7
,,,,,,jayotoocold,0,1,0,0,0,2,0,0,0.0,4,0,2,0.0
