Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Bodega Cats,0|0|0|0|0|88,Win,,,,,,,,,,,,,,
,,,,,,GK1LLER77,29,1,5,0,0,0,1,10,62.5,16,9,15,60.0
,,,,,,goldenboy YP,24,0,4,7,0,2,3,10,66.7,15,4,7,57.1
,,,,,,o_ihoop5_o,17,2,11,5,0,2,1,7,70.0,10,3,5,60.0
,,,,,,Rye vs Rah,16,7,1,0,0,2,1,6,66.7,9,4,7,57.1
,,,,,,lvlr Syn,2,9,3,1,0,0,2,1,25.0,4,0,0,0
,,,Kiss My Timbs,0|0|0|0|0|66,Loss,,,,,,,,,,,,,,,
,,,,,,JoeMorning,19,14,3,2,0,0,1,9,64.3,14,1,1,100.0
,,,,,,MamaImDatMan,18,0,1,0,0,0,5,7,43.8,16,4,12,33.3
,,,,,,DawsixonTwitch,14,1,2,3,0,2,2,5,71.4,7,4,6,66.7
,,,,,,CB13OnTwitch,10,0,8,1,0,0,6,4,57.1,7,2,5,40.0
,,,,,,SuperSeese,5,4,1,1,1,2,0,2,66.7,3,1,2,50.0
