Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Fenix,0|0|0|0|0|75,Win,,,,,,,,,,,,,,
,,,,,,VizionHated,26,2,5,8,0,2,2,11,57.9,19,2,5,40.0
,,,,,,makina319,18,1,7,0,0,0,2,8,44.4,18,2,9,22.2
,,,,,,Glyziix-,12,5,0,1,0,0,0,4,57.1,7,4,7,57.1
,,,,,,xLeCuban,12,14,5,2,0,0,1,5,71.4,7,0,0,0
,,,,,,llchillzll,7,0,2,0,0,0,0,3,37.5,8,1,4,25.0
,,,Major smoke,0|0|0|0|0|72,Loss,,,,,,,,,,,,,,,
,,,,,,Bstackz,23,6,2,2,2,1,2,9,100.0,9,5,5,100.0
,,,,,,Wavyrose,17,1,2,0,0,2,0,7,46.7,15,3,8,37.5
,,,,,,TendenccyCF,16,14,3,0,0,2,3,8,88.9,9,0,0,0
,,,,,,Bnasty_Tv,9,0,16,0,0,1,7,4,33.3,12,1,6,16.7
,,,,,,Afromaker,7,0,4,3,0,2,1,3,100.0,3,1,1,100.0
