Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Free Smoke,0|0|0|0|0|79,Win,,,,,,,,,,,,,,
,,,,,,ill-Dante-lli,30,0,10,0,0,0,3,10,55.6,18,7,12,58.3
,,,,,,DonFloatinn,25,1,0,0,0,1,0,10,76.9,13,5,8,62.5
,,,,,,IssaCreed-_,10,13,4,4,1,1,4,5,71.4,7,0,0,0
,,,,,,WaveLuciann,7,2,3,4,0,3,0,3,50.0,6,1,3,33.3
,,,,,,ooJxden,7,3,1,1,0,4,2,3,60.0,5,1,2,50.0
,,,Kiss My Timbs,0|0|0|0|0|69,Loss,,,,,,,,,,,,,,,
,,,,,,MamaImDatMan,26,0,1,1,0,0,1,8,44.4,18,7,15,46.7
,,,,,,CB13OnTwitch,13,1,9,0,0,0,3,5,45.5,11,3,7,42.9
,,,,,,JoeMorning,11,11,2,1,2,0,6,5,71.4,7,0,1,0.0
,,,,,,SuperSeese,10,6,2,3,1,3,2,4,66.7,6,2,3,66.7
,,,,,,DawsixonTwitch,9,2,1,3,0,2,0,3,60.0,5,3,5,60.0
