Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Nightmare City,0|0|0|0|0|86,Win,,,,,,,,,,,,,,
,,,,,,xLattin,47,0,3,1,0,0,1,17,81.0,21,13,16,81.3
,,,,,,island Devil,21,0,7,0,0,0,1,8,47.1,17,5,12,41.7
,,,,,,Xxmoneycashxx,10,0,1,4,0,5,1,5,100.0,5,0,0,0
,,,,,,XxCLUSIVE,6,15,9,1,0,2,2,3,100.0,3,0,0,0
,,,,,,Catchingblessing,2,5,0,0,0,4,0,1,50.0,2,0,1,0.0
,,,Hoopers NXT Door,0|0|0|0|0|57,Loss,,,,,,,,,,,,,,,
,,,,,,lGioval,17,5,2,1,0,0,2,5,62.5,8,5,7,71.4
,,,,,,llfamtygll,14,0,11,0,0,1,2,5,35.7,14,2,10,20.0
,,,,,,Tommy-RFS_RD,14,10,4,0,0,1,1,7,77.8,9,0,0,0
,,,,,,xLgnd30_RD,7,0,0,0,1,0,1,3,60.0,5,1,3,33.3
,,,,,,StrawhatHatRD,5,0,1,1,0,1,0,2,28.6,7,1,6,16.7
