Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Rockstar,0|0|0|0|0|97,Win,,,,,,,,,,,,,,
,,,,,,iSnap380-,31,1,6,4,0,0,1,12,66.7,18,7,11,63.6
,,,,,,Pgjeree,23,1,11,2,0,0,2,7,70.0,10,7,10,70.0
,,,,,,Solotry,16,1,1,1,0,4,0,6,66.7,9,4,6,66.7
,,,,,,iiExcuseMe-,14,0,1,2,1,3,1,5,71.4,7,4,6,66.7
,,,,,,EL1TEIANA,13,16,8,2,0,0,2,6,85.7,7,1,1,100.0
,,,Must See TV,0|0|0|0|0|72,Loss,,,,,,,,,,,,,,,
,,,,,,Osakueva,42,0,8,2,0,1,4,15,65.2,23,12,16,75.0
,,,,,,Solaar,18,0,2,2,0,1,4,6,66.7,9,4,7,57.1
,,,,,,Ali-The-Great,6,3,1,0,0,4,1,3,75.0,4,0,0,0
,,,,,,Flac0__0,3,6,2,1,0,0,1,1,20.0,5,1,2,50.0
,,,,,,imWilt-,3,4,6,0,0,1,1,1,50.0,2,1,2,50.0
