Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/26/2025,,Regular Season,Bad Energy,0|0|0|0|0|111,Win,,,,,,,,,,,,,,
,,,,,,Im Vxnom,50,2,6,8,0,2,0,18,66.7,27,14,23,60.9
,,,,,,StopMortal,23,0,8,2,0,0,0,7,58.3,12,6,9,66.7
,,,,,,Mvsephh,18,8,11,3,2,1,4,8,72.7,11,2,4,50.0
,,,,,,ILocksy,11,3,1,3,0,0,1,5,71.4,7,1,3,33.3
,,,,,,AintThatOurBall,9,6,3,5,0,2,1,4,100.0,4,1,1,100.0
,,,Nightmarez,0|0|0|0|0|72,Loss,,,,,,,,,,,,,,,
,,,,,,lilescobxr,25,0,1,1,0,0,4,9,75.0,12,7,10,70.0
,,,,,,EL1TE_W1ZARD,19,12,2,1,0,1,8,8,80.0,10,2,4,50.0
,,,,,,TBLMikeBuck,13,0,11,1,0,1,6,5,83.3,6,3,4,75.0
,,,,,,HeyynowSinn-,12,0,5,1,0,1,2,5,55.6,9,2,5,40.0
,,,,,,veegocrazy2x,3,0,5,1,0,2,1,1,25.0,4,1,4,25.0
