Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/26/2025,,Regular Season,No Mercy,0|0|0|0|0|64,Loss,,,,,,,,,,,,,,
,,,,,,GordoBeam,25,1,7,1,0,1,1,9,60.0,15,7,11,63.6
,,,,,,jayflawed,14,1,3,0,0,0,0,5,83.3,6,4,5,80.0
,,,,,,IlJayDubll,12,12,2,1,0,2,3,6,100.0,6,0,0,0
,,,,,,yValentinno,7,1,2,4,0,0,1,3,30.0,10,1,2,50.0
,,,,,,akumenzo,6,0,1,1,0,1,1,3,50.0,6,0,1,0.0
,,,Show Up Show Out,0|0|0|0|0|66,Win,,,,,,,,,,,,,,,
,,,,,,NooCalleriiD_TTV,24,0,4,2,0,1,0,10,76.9,13,4,6,66.7
,,,,,,YouxBop,21,0,1,0,0,2,2,8,80.0,10,5,6,83.3
,,,,,,OC-SlightlyLate,8,8,7,1,0,2,1,4,80.0,5,0,1,0.0
,,,,,,Oc-ern-,7,1,10,0,0,1,3,3,33.3,9,1,6,16.7
,,,,,,CGAninochill,6,4,1,1,1,1,2,2,40.0,5,2,4,50.0
