Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/26/2025,,Regular Season,Top Notch Pro Am,0|0|0|0|0|70,Win,,,,,,,,,,,,,,
,,,,,,FarewellTour,29,0,4,0,1,0,2,10,66.7,15,9,14,64.3
,,,,,,llBliik,17,2,3,0,0,2,0,6,50.0,12,5,7,71.4
,,,,,,OneWayPistol,14,9,3,0,1,0,1,7,70.0,10,0,0,0
,,,,,,HxchoG,7,1,1,3,0,6,0,3,100.0,3,1,1,100.0
,,,,,,DayyTc,3,5,5,2,1,1,1,1,25.0,4,1,3,33.3
,,,6ixFatal,0|0|0|0|0|60,Loss,,,,,,,,,,,,,,,
,,,,,,IIITeelll,23,0,8,2,0,0,4,8,61.5,13,4,9,44.4
,,,,,,Ttv-bangbrojayloo,23,0,1,0,0,2,1,9,56.3,16,5,11,45.5
,,,,,,Yaegoated,12,7,2,0,0,0,2,6,85.7,7,0,0,0
,,,,,,Teeswings,2,7,3,2,1,2,0,1,50.0,2,0,1,0.0
,,,,,,holylockedd,0,0,2,0,0,0,0,0,0.0,2,0,2,0.0
