Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/29/2025,,Regular Season,DUB DYNASTY,0|0|0|0|0|56,Loss,,,,,,,,,,,,,,
,,,,,,Dynastyxcjay,25,7,2,1,1,0,5,10,62.5,16,4,6,66.7
,,,,,,Tiktokpablo,21,0,9,0,0,2,6,8,72.7,11,3,6,50.0
,,,,,,Dynastyxkdub2k,6,3,2,3,0,3,1,2,40.0,5,2,3,66.7
,,,,,,Zendrawlin,2,0,2,0,0,0,1,1,12.5,8,0,5,0.0
,,,,,,IDKVINO,2,0,1,0,0,0,0,1,50.0,2,0,0,0
,,,Wen family,0|0|0|0|0|108,Win,,,,,,,,,,,,,,,
,,,,,,oMirabal CF,41,0,7,2,0,0,1,15,48.4,31,7,18,38.9
,,,,,,I Ryan II,38,2,2,1,0,0,0,13,81.3,16,12,15,80.0
,,,,,,PAGAN7PRl,14,20,6,1,1,0,2,7,87.5,8,0,0,0
,,,,,,iiiTzDJ,9,2,3,7,0,4,1,4,50.0,8,1,3,33.3
,,,,,,Yerythebest2,6,10,6,0,0,3,1,2,100.0,2,2,2,100.0
