Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/29/2025,,Regular Season,Dawg Mentality,0|0|0|0|0|76,Loss,,,,,,,,,,,,,,
,,,,,,Best Break,32,0,3,2,0,0,1,12,85.7,14,7,9,77.8
,,,,,,ODthatdude,14,10,2,0,0,1,1,6,100.0,6,0,0,0
,,,,,,xthebeltx,14,0,14,0,0,1,2,5,31.3,16,4,12,33.3
,,,,,,JGxCashout919,12,0,1,2,0,4,0,5,83.3,6,2,2,100.0
,,,,,,Drenchgod919,4,5,4,0,0,2,1,2,50.0,4,0,0,0
,,,Nun But Killas,0|0|0|0|0|79,Win,,,,,,,,,,,,,,,
,,,,,,Blewstrips,39,1,9,1,0,0,1,13,65.0,20,11,16,68.8
,,,,,,Hennmothy,12,0,1,2,0,1,0,5,71.4,7,2,3,66.7
,,,,,,Defensive1stTeam,11,13,2,0,0,3,1,4,80.0,5,0,0,0
,,,,,,ForgivePxrge,10,2,0,0,0,1,0,4,66.7,6,2,3,66.7
,,,,,,Daehonncho,7,0,4,1,0,2,2,3,37.5,8,1,5,20.0
