Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/29/2025,,Regular Season,Untouchabulls,0|0|0|0|0|66,Loss,,,,,,,,,,,,,,
,,,,,,ISwaggyz,28,1,5,0,1,2,2,11,57.9,19,6,12,50.0
,,,,,,LockGPT,21,0,3,1,1,1,0,9,69.2,13,3,5,60.0
,,,,,,Controverssy,8,8,4,0,0,0,1,4,57.1,7,0,0,0
,,,,,,ICoscu,6,1,2,0,0,0,0,2,40.0,5,2,5,40.0
,,,,,,Robertito_007,3,9,2,0,0,2,3,1,20.0,5,1,5,20.0
,,,Wen family,0|0|0|0|0|73,Win,,,,,,,,,,,,,,,
,,,,,,Cristiangotzen,33,0,5,0,0,2,0,13,56.5,23,7,12,58.3
,,,,,,oMirabal CF,29,0,6,1,0,3,2,12,50.0,24,5,15,33.3
,,,,,,Hakusation,8,16,3,2,0,1,3,3,75.0,4,0,0,0
,,,,,,iiiTzDJ,3,10,8,1,1,0,0,1,100.0,1,1,1,100.0
,,,,,,undotted cepin,0,1,1,2,0,0,0,0,0.0,3,0,2,0.0
