Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/30/2025,,Regular Season,Break The Chain,0|0|0|0|0|81,Loss,,,,,,,,,,,,,,
,,,,,,Love Hawking,31,1,6,0,0,0,2,12,80.0,15,7,10,70.0
,,,,,,LouieDimez,19,2,7,1,0,3,5,7,70.0,10,4,5,80.0
,,,,,,DotTonyy,16,7,2,0,1,1,2,7,100.0,7,2,2,100.0
,,,,,,Juice_uchiha,9,1,1,3,0,3,1,3,50.0,6,2,4,50.0
,,,,,,Fix My J,6,2,2,2,1,1,0,2,50.0,4,2,3,66.7
,,,BOOM3Rz,0|0|0|0|0|86,Win,,,,,,,,,,,,,,,
,,,,,,IlMarkNuttlI,25,4,3,3,0,0,3,10,100.0,10,5,5,100.0
,,,,,,Coachwhogamesttv,25,1,15,2,0,0,2,10,71.4,14,4,6,66.7
,,,,,,XFrostFades,17,0,2,0,0,0,0,6,100.0,6,3,3,100.0
,,,,,,Recentchris,14,1,2,1,0,2,0,5,83.3,6,4,4,100.0
,,,,,,Laayupk,5,0,1,3,0,2,1,2,33.3,6,1,4,25.0
