Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/30/2025,,Regular Season,Hells Paradise,0|0|0|0|0|78,Loss,,,,,,,,,,,,,,
,,,,,,Sinnerz ll,22,0,13,0,1,1,3,8,72.7,11,6,9,66.7
,,,,,,YHWH zx,19,0,2,2,0,1,2,7,77.8,9,5,7,71.4
,,,,,,HillfrmdaLou,17,7,5,1,2,0,2,8,100.0,8,1,1,100.0
,,,,,,DonJulioTV,15,1,0,1,0,4,0,7,87.5,8,1,1,100.0
,,,,,,Tzuld,5,4,3,2,0,2,0,1,33.3,3,1,3,33.3
,,,Must See TV,0|0|0|0|0|83,Win,,,,,,,,,,,,,,,
,,,,,,A WalkingBucket_,36,1,5,1,0,3,2,12,70.6,17,12,15,80.0
,,,,,,Osakueva,31,0,6,3,0,3,3,11,73.3,15,9,12,75.0
,,,,,,Flac0__0,12,3,1,2,0,0,0,5,71.4,7,2,3,66.7
,,,,,,ReturnOfDC,3,0,2,0,0,2,0,1,33.3,3,1,2,50.0
,,,,,,Solaar,1,4,3,0,0,0,1,0,0.0,1,0,0,0
