Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/30/2025,,Regular Season,No Cap Pro Am,0|0|0|0|0|54,Loss,,,,,,,,,,,,,,
,,,,,,GBN_Boosted,19,1,6,0,0,3,2,7,46.7,15,5,13,38.5
,,,,,,Sells_TV,18,0,0,1,0,1,0,7,77.8,9,4,5,80.0
,,,,,,TTV-II|205|||,15,0,2,2,0,4,0,7,43.8,16,1,4,25.0
,,,,,,lIxIKINGIxII,2,5,3,0,1,0,2,1,33.3,3,0,0,0
,,,,,,Billion_TTV,0,2,1,1,1,1,1,0,0.0,2,0,2,0.0
,,,Madvillainz,0|0|0|0|0|92,Win,,,,,,,,,,,,,,,
,,,,,,CassiusClayI,23,14,5,0,0,0,1,10,76.9,13,1,2,50.0
,,,,,,MaicoBeams,19,0,10,0,0,0,0,7,70.0,10,4,6,66.7
,,,,,,Create envy,18,9,5,3,2,0,1,7,70.0,10,4,5,80.0
,,,,,,Heffro,17,1,5,0,0,1,2,7,63.6,11,3,7,42.9
,,,,,,Proof rr,15,1,2,1,2,1,0,5,100.0,5,5,5,100.0
