Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/30/2025,,Regular Season,SWVA PARADISE,0|0|0|0|0|82,Win,,,,,,,,,,,,,,
,,,,,,Fen Sins,30,0,9,1,0,0,4,12,75.0,16,5,8,62.5
,,,,,,VelcroV,19,1,0,2,0,3,0,7,77.8,9,5,6,83.3
,,,,,,King Plamer,19,1,1,0,0,1,1,7,100.0,7,5,5,100.0
,,,,,,Reedrix,8,14,6,0,0,0,1,4,80.0,5,0,0,0
,,,,,,I CheddR I,6,0,7,0,0,1,0,2,28.6,7,0,3,0.0
,,,THE MOB,0|0|0|0|0|71,Loss,,,,,,,,,,,,,,,
,,,,,,llFREEBOARDSll,17,10,2,1,0,0,3,8,100.0,8,0,0,0
,,,,,,StopBaited,16,0,0,1,0,3,0,7,77.8,9,2,4,50.0
,,,,,,PattyMil,14,1,16,2,0,1,0,6,50.0,12,2,7,28.6
,,,,,,Gothum,12,1,2,1,0,2,1,4,50.0,8,4,6,66.7
,,,,,,Reallytrxp,12,0,1,1,0,0,0,5,50.0,10,2,6,33.3
