Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/1/2025,,Regular Season,6ix Elite,0|0|0|0|0|71,Loss,,,,,,,,,,,,,,
,,,,,,RhinoDiarrhea,33,0,8,1,0,0,2,11,44.0,25,11,22,50.0
,,,,,,IIManuck,15,3,3,0,0,0,0,6,85.7,7,3,4,75.0
,,,,,,StephBeenLit,10,0,3,0,0,1,0,4,44.4,9,2,7,28.6
,,,,,,Dungardoctor,7,9,1,0,0,2,2,3,75.0,4,1,2,50.0
,,,,,,lilciink,6,0,1,2,0,5,1,3,100.0,3,0,0,0
,,,6ixFatal,0|0|0|0|0|94,Win,,,,,,,,,,,,,,,
,,,,,,Breeshaveli,40,0,4,0,0,0,0,14,73.7,19,10,15,66.7
,,,,,,NooDipp,30,0,5,3,0,1,1,11,78.6,14,8,10,80.0
,,,,,,IxJasonl,12,13,4,0,1,1,2,5,100.0,5,0,0,0
,,,,,,IIswipez,7,0,0,0,1,2,0,3,75.0,4,1,2,50.0
,,,,,,Teeswings,5,4,2,1,0,1,0,2,100.0,2,1,1,100.0
