Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/1/2025,,Regular Season,Hoop Nation,0|0|0|0|0|79,Win,,,,,,,,,,,,,,
,,,,,,Perlsmutty,39,1,0,3,0,2,0,15,75.0,20,8,12,66.7
,,,,,,Deadpoolk,22,0,10,0,0,0,2,8,66.7,12,6,10,60.0
,,,,,,wavvyxxll,11,14,4,0,0,1,2,5,71.4,7,0,0,0
,,,,,,HAAMICIDE,5,0,1,0,0,3,0,2,50.0,4,1,3,33.3
,,,,,,TTurboXXL,2,1,0,2,0,1,0,1,25.0,4,0,3,0.0
,,,Rockstar,0|0|0|0|0|69,Loss,,,,,,,,,,,,,,,
,,,,,,iSnap380-,33,0,1,0,0,2,1,12,57.1,21,9,15,60.0
,,,,,,Pgjeree,20,2,8,0,0,1,4,7,53.8,13,6,11,54.5
,,,,,,EL1TEIANA,9,12,7,1,0,0,1,4,80.0,5,1,1,100.0
,,,,,,iiExcuseMe-,5,3,1,0,0,0,2,2,40.0,5,1,4,25.0
,,,,,,iJohnka,2,3,2,2,0,2,0,1,50.0,2,0,1,0.0
