Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/1/2025,,Regular Season,Two City Cyclones,0|0|0|0|0|63,Loss,,,,,,,,,,,,,,
,,,,,,SlimlQ,26,2,7,0,0,0,6,10,71.4,14,6,10,60.0
,,,,,,IIDeeskiii,18,0,2,2,0,1,0,6,54.5,11,4,6,66.7
,,,,,,Deyvw,13,4,1,1,0,0,2,6,100.0,6,1,1,100.0
,,,,,,cheekylocc,3,0,2,0,0,1,2,1,33.3,3,1,3,33.3
,,,,,,llLoadingll,3,3,4,2,0,2,0,1,33.3,3,1,3,33.3
,,,Lightsout,0|0|0|0|0|83,Win,,,,,,,,,,,,,,,
,,,,,,IIIzIIII,44,0,2,2,0,1,1,15,83.3,18,12,14,85.7
,,,,,,TmChris2k,22,0,5,2,0,2,0,8,47.1,17,6,14,42.9
,,,,,,XFatboyTrae,12,16,6,0,0,1,2,6,75.0,8,0,0,0
,,,,,,Melder_,5,3,2,2,0,0,2,2,40.0,5,1,4,25.0
,,,,,,IRecedel,0,2,1,3,0,1,0,0,0.0,2,0,2,0.0
