Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/2/2025,,Regular Season,Triborough,0|0|0|0|0|55,Loss,,,,,,,,,,,,,,
,,,,,,dtbKOLA,24,0,3,3,0,1,2,10,55.6,18,4,8,50.0
,,,,,,BaseballJ-TikTok,16,0,4,1,0,3,1,6,60.0,10,4,7,57.1
,,,,,,G_RAWWW3,7,2,1,0,0,2,0,3,37.5,8,1,5,20.0
,,,,,,XBrixton_,6,10,3,0,0,1,2,3,75.0,4,0,0,0
,,,,,,ITROYBOYI,2,1,1,1,0,0,1,1,50.0,2,0,1,0.0
,,,Heartless,0|0|0|0|0|74,Win,,,,,,,,,,,,,,,
,,,,,,GINOBILLI,31,1,9,2,0,0,2,10,66.7,15,9,13,69.2
,,,,,,II MxL II,19,13,4,0,0,0,0,9,90.0,10,1,2,50.0
,,,,,,lllllll1,14,0,3,1,0,3,2,6,66.7,9,2,5,40.0
,,,,,,EmbraceDaEgo,10,3,2,2,1,0,1,4,80.0,5,2,3,66.7
,,,,,,Prvmx,0,0,1,0,0,1,0,0,0.0,2,0,2,0.0
