Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/3/2025,,Regular Season,Flourish Citizens,0|0|0|0|0|57,Loss,,,,,,,,,,,,,,
,,,,,,TGF4021,19,11,1,2,0,2,1,9,75.0,12,0,0,0
,,,,,,JMDHeisman,12,1,3,2,0,1,3,5,45.5,11,2,5,40.0
,,,,,,JJGotTheJuice,12,1,5,4,0,2,2,4,50.0,8,2,5,40.0
,,,,,,ImClem4Real,11,0,3,1,0,1,2,4,44.4,9,3,7,42.9
,,,,,,xzDOPExz,3,6,2,0,1,0,1,1,16.7,6,1,4,25.0
,,,DUB DYNASTY,0|0|0|0|0|61,Win,,,,,,,,,,,,,,,
,,,,,,Tiktokpablo,18,0,10,1,0,1,3,8,53.3,15,2,7,28.6
,,,,,,LNO802MAG,14,15,2,4,0,0,2,5,71.4,7,0,1,0.0
,,,,,,IDKVINO,12,0,1,1,0,1,0,5,71.4,7,2,3,66.7
,,,,,,Walksum-,11,1,2,1,0,1,2,4,40.0,10,1,3,33.3
,,,,,,Dynastyxkdub2k,6,4,2,1,1,3,2,3,75.0,4,0,1,0.0
