Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/4/2025,,Regular Season,High Octane,0|0|0|0|0|72,Win,,,,,,,,,,,,,,
,,,,,,II Quaa II,23,1,3,3,0,2,0,10,58.8,17,2,6,33.3
,,,,,,xHatedKy,18,10,4,0,1,3,2,9,90.0,10,0,0,0
,,,,,,SpilledMyWock-,15,0,13,2,0,3,4,6,50.0,12,3,8,37.5
,,,,,,PurpDaMenace,9,3,0,1,0,3,0,4,66.7,6,1,2,50.0
,,,,,,WooHardxn,7,3,3,2,4,2,0,2,40.0,5,1,2,50.0
,,,InVigor Alliance,0|0|0|0|0|67,Loss,,,,,,,,,,,,,,,
,,,,,,lakiwi,28,0,8,0,0,0,3,7,38.9,18,6,15,40.0
,,,,,,KPMR,20,2,0,0,2,3,1,9,64.3,14,1,5,20.0
,,,,,,ImThePringleman,14,0,2,2,0,0,2,5,50.0,10,4,7,57.1
,,,,,,Smoove Tristxn,3,14,1,0,1,3,2,1,33.3,3,0,0,0
,,,,,,bronx_duffle,2,7,5,1,1,0,2,1,25.0,4,0,1,0.0
