Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/4/2025,,Regular Season,Major smoke,0|0|0|0|0|70,Loss,,,,,,,,,,,,,,
,,,,,,Wavyrose,32,0,5,1,0,2,1,11,78.6,14,7,9,77.8
,,,,,,KingInDaNorth28,25,7,0,0,0,1,1,12,80.0,15,1,2,50.0
,,,,,,Joe_pepi,5,1,3,1,1,3,0,2,66.7,3,1,2,50.0
,,,,,,Bstackz,5,9,4,1,0,3,2,2,40.0,5,1,3,33.3
,,,,,,Bnasty_Tv,3,0,9,1,0,2,4,1,25.0,4,0,0,0
,,,RuskaRomaPrep,0|0|0|0|0|72,Win,,,,,,,,,,,,,,,
,,,,,,Mir-In-Motion,20,4,2,2,1,0,1,7,58.3,12,6,10,60.0
,,,,,,zSTNx,19,0,8,1,0,1,1,7,53.8,13,3,8,37.5
,,,,,,Earlier-it,15,0,1,1,0,3,0,6,54.5,11,2,6,33.3
,,,,,,|GodSent|-,14,1,0,3,0,1,0,6,66.7,9,2,4,50.0
,,,,,,GodSentMel,4,10,7,0,0,2,2,0,0.0,3,0,2,0.0
