Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/4/2025,,Regular Season,Triborough,0|0|0|0|0|81,Win,,,,,,,,,,,,,,
,,,,,,BaseballJ-TikTok,32,0,7,1,0,1,0,11,64.7,17,8,12,66.7
,,,,,,CrushMyShi,16,0,7,3,0,1,0,7,46.7,15,2,5,40.0
,,,,,,Saucejigga,14,1,3,3,0,0,0,6,85.7,7,2,3,66.7
,,,,,,XBrixton_,10,12,4,0,1,1,0,5,55.6,9,0,0,0
,,,,,,ITROYBOYI,9,4,3,2,3,0,1,3,100.0,3,1,1,100.0
,,,Horn of Africa,0|0|0|0|0|59,Loss,,,,,,,,,,,,,,,
,,,,,,LaysNotRuffles,24,6,4,0,0,0,2,9,81.8,11,6,8,75.0
,,,,,,BCA_MONSTAA,12,0,10,0,0,1,3,5,45.5,11,2,5,40.0
,,,,,,FSVADO,10,2,5,0,0,1,0,5,45.5,11,0,3,0.0
,,,,,,ISayGuardUp,9,0,1,1,0,1,2,4,80.0,5,1,2,50.0
,,,,,,nomercix,4,9,1,0,1,2,2,2,33.3,6,0,3,0.0
