Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,Show Up Show Out,0|0|0|0|0|61,Loss,,,,,,,,,,,,,,
,,,,,,Oc-ern-,20,0,8,2,0,2,4,7,46.7,15,6,11,54.5
,,,,,,NooCalleriiD_TTV,17,0,3,0,0,0,0,7,63.6,11,2,6,33.3
,,,,,,YouxBop,14,0,1,1,0,3,1,6,85.7,7,2,3,66.7
,,,,,,OC-SlightlyLate,10,6,2,4,0,3,0,5,100.0,5,0,0,0
,,,,,,SteezQueLOE,0,4,2,2,0,0,1,0,0.0,3,0,2,0.0
,,,BOOM3Rz,0|0|0|0|0|70,Win,,,,,,,,,,,,,,,
,,,,,,Coachwhogamesttv,27,0,10,2,0,0,1,10,71.4,14,6,9,66.7
,,,,,,Recentchris,15,1,3,2,0,0,2,6,66.7,9,3,6,50.0
,,,,,,IlMarkNuttlI,14,10,0,0,0,1,3,6,85.7,7,2,3,66.7
,,,,,,NeverPassingIt,7,0,1,0,0,3,1,3,42.9,7,1,4,25.0
,,,,,,Laayupk,7,8,2,1,0,1,4,3,60.0,5,1,3,33.3
