Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,High Octane,0|0|0|0|0|88,Win,,,,,,,,,,,,,,
,,,,,,II Quaa II,37,1,5,2,0,1,1,13,65.0,20,11,17,64.7
,,,,,,SpilledMyWock-,22,0,6,0,0,1,3,9,52.9,17,4,8,50.0
,,,,,,PurpDaMenace,16,0,1,2,1,0,0,6,66.7,9,3,5,60.0
,,,,,,WooHardxn,9,3,1,0,0,4,0,3,100.0,3,1,1,100.0
,,,,,,xHatedKy,4,16,6,0,0,1,2,2,100.0,2,0,0,0
,,,Two City Cyclones,0|0|0|0|0|75,Loss,,,,,,,,,,,,,,,
,,,,,,SlimlQ,28,1,15,1,0,0,3,9,45.0,20,6,15,40.0
,,,,,,eljefe_5k,25,6,4,1,0,1,0,12,92.3,13,1,2,50.0
,,,,,,CrippledKev,9,4,1,0,1,1,0,3,60.0,5,3,5,60.0
,,,,,,llLoadingll,8,1,4,2,0,1,1,4,40.0,10,0,5,0.0
,,,,,,Deyvw,5,5,0,1,1,0,1,2,66.7,3,1,2,50.0
