Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,Loyalty Runs Deep,0|0|0|0|0|77,Win,,,,,,,,,,,,,,
,,,,,,BlacLabelz0,36,1,11,1,0,2,2,13,46.4,28,8,20,40.0
,,,,,,R1 oSaints,24,0,3,1,0,2,0,9,69.2,13,6,9,66.7
,,,,,,IIIAmVicious,10,8,0,1,0,1,3,5,71.4,7,0,0,0
,,,,,,LuisGotNext,4,4,0,0,2,2,0,2,100.0,2,0,0,0
,,,,,,Sessions4467,3,2,2,3,0,0,0,1,100.0,1,1,1,100.0
,,,Horn of Africa,0|0|0|0|0|74,Loss,,,,,,,,,,,,,,,
,,,,,,ISayGuardUp,37,0,4,1,0,0,2,14,73.7,19,8,11,72.7
,,,,,,nomercix,13,0,0,1,0,2,0,4,50.0,8,4,7,57.1
,,,,,,iOnlyFace,12,8,6,0,1,1,2,5,83.3,6,2,2,100.0
,,,,,,LaysNotRuffles,9,11,5,0,0,4,4,3,60.0,5,3,5,60.0
,,,,,,MaliBrahh,3,1,6,1,0,1,3,1,16.7,6,1,2,50.0
